owner,name,stars,created_at,updated_at,language,merged_prs,releases,issues_total,issues_closed
MonitorControl,MonitorControl,32663,2017-09-16T21:13:40Z,2026-03-13T17:34:19Z,Swift,220,26,1010,994
restic,restic,32649,2014-04-27T14:07:58Z,2026-03-13T17:42:03Z,Go,2318,49,2920,2469
qier222,YesPlayMusic,32647,2020-10-09T10:04:21Z,2026-03-13T12:01:09Z,Vue,292,32,1833,1198
binarywang,WxJava,32628,2016-01-06T08:24:05Z,2026-03-13T12:33:25Z,Java,1194,31,2466,2460
lutzroeder,netron,32575,2010-12-26T12:53:43Z,2026-03-13T15:52:39Z,JavaScript,1,7,1254,1237
datalab-to,marker,32492,2023-10-30T20:14:08Z,2026-03-13T17:49:05Z,Python,228,71,653,324
glanceapp,glance,32492,2024-04-27T18:55:38Z,2026-03-13T18:03:25Z,Go,110,33,510,294
floating-ui,floating-ui,32487,2016-03-29T17:00:47Z,2026-03-13T15:48:08Z,TypeScript,1209,506,1477,1444
open-mmlab,mmdetection,32484,2018-08-22T07:06:06Z,2026-03-13T16:41:45Z,Python,2358,53,8525,6753
yewstack,yew,32474,2017-12-16T14:19:02Z,2026-03-13T12:34:45Z,Rust,1900,40,1270,1178
remix-run,remix,32471,2020-10-26T19:57:28Z,2026-03-13T17:57:22Z,TypeScript,3676,357,2694,2659
cursor,cursor,32431,2023-03-12T00:19:42Z,2026-03-13T16:58:56Z,,47,0,0,0
k3s-io,k3s,32426,2018-05-31T01:37:46Z,2026-03-13T17:04:44Z,Go,4497,957,7416,7284
beego,beego,32424,2012-02-29T02:32:08Z,2026-03-13T13:52:43Z,Go,1328,43,3382,3380
ziadoz,awesome-php,32421,2013-11-26T03:14:19Z,2026-03-13T17:04:36Z,,457,0,155,153
vercel,swr,32340,2019-10-28T18:16:01Z,2026-03-13T17:12:42Z,TypeScript,816,126,973,831
medusajs,medusa,32324,2020-01-18T13:39:04Z,2026-03-13T18:00:56Z,TypeScript,8415,146,3671,3606
Lissy93,web-check,32269,2023-06-25T14:32:11Z,2026-03-13T14:28:32Z,TypeScript,53,1,136,65
lizongying,my-tv,32245,2023-12-04T12:18:39Z,2026-03-13T08:27:28Z,C,11,72,921,777
0xAX,linux-insides,32238,2015-01-03T18:44:57Z,2026-03-13T10:07:13Z,Python,620,0,191,168
PDFMathTranslate,PDFMathTranslate,32230,2024-09-06T06:56:03Z,2026-03-13T13:14:56Z,Python,136,24,860,732
labstack,echo,32226,2015-03-01T17:43:01Z,2026-03-13T06:56:12Z,Go,630,116,1489,1441
yunjey,pytorch-tutorial,32219,2017-03-10T07:41:47Z,2026-03-13T12:19:49Z,Python,28,0,180,114
frappe,erpnext,32214,2011-06-08T08:20:56Z,2026-03-13T17:12:48Z,Python,28851,1000,17798,15832
google,material-design-lite,32213,2015-01-14T22:01:33Z,2026-03-13T02:03:08Z,HTML,655,14,2204,1814
ashishpatel26,500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,32197,2021-01-02T12:08:37Z,2026-03-13T16:31:08Z,,3,0,74,26
facebookresearch,fairseq,32190,2017-08-29T16:26:12Z,2026-03-13T12:19:51Z,Python,236,16,4260,3060
linera-io,linera-protocol,32150,2021-12-19T04:09:21Z,2026-03-13T15:25:06Z,Rust,3593,33,1465,911
The-Run-Philosophy-Organization,run,32144,2022-04-10T05:42:40Z,2026-03-13T12:03:49Z,,172,0,261,216
apache,kafka,32138,2011-08-15T18:06:16Z,2026-03-13T15:44:10Z,Java,12844,0,0,0
NginxProxyManager,nginx-proxy-manager,32078,2017-12-20T23:01:16Z,2026-03-13T14:01:29Z,TypeScript,683,86,3195,2378
casey,just,32048,2016-06-17T06:08:08Z,2026-03-13T17:50:04Z,Rust,1378,131,1354,1016
nicolargo,glances,32037,2011-12-04T08:49:15Z,2026-03-13T16:46:00Z,Python,774,56,2162,2038
lovell,sharp,32011,2013-08-19T20:24:24Z,2026-03-13T15:28:35Z,JavaScript,312,107,4031,3913
PostHog,posthog,32008,2020-01-23T22:46:58Z,2026-03-13T17:51:27Z,Python,35260,90,9144,6395
cockroachdb,cockroach,31983,2014-02-06T00:18:47Z,2026-03-13T17:25:02Z,Go,73081,0,82791,76094
TauricResearch,TradingAgents,31979,2024-12-28T03:31:08Z,2026-03-13T17:56:27Z,Python,19,1,197,33
